20231101T06:33:16Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: Updating Signatures ...
20231101T06:33:16Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: Downloading https://github.com/Neo23x0/signature-base/archive/master.zip ...
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: README.txt
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: c2-iocs.txt
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: filename-iocs.txt
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: hash-iocs.txt
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: keywords.txt
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: otx-hash-iocs.txt
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: file-type-signatures.txt
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: airbnb_binaryalert.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_aa19_024a.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_agent_btz.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_alienspy_rat.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt10.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt10_redleaves.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt12_malware.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt15.yar
